ligand_id,iupac,glycoct,glytoucan_id
57,NeuAc(a2-6)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(6+2)4d
4:4d(5+1)5n",G09376MR
58,NeuAc(a2-3)Gal(b1-3)[NeuAc(a2-6)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-acetyl
6b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
7s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+2)6d
6:6d(5+1)7n",G79475GW
59,Man(a1-6)[Man(a1-3)]Man(a1-6)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(3+1)3d
3:2o(6+1)4d",G20671VB
60,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:a-lgal-HEX-1:5|6:d
6b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n
4:3o(3+1)5d
5:3o(4+1)6d",G83916HL
61,Gal(a1-2)[Tyv(a1-3)]Man(a1-4)Rha(a1-3)Gal(a1-2)[Tyv(a1-3)]Man(a1-4)Rha,"RES
1b:x-lman-HEX-1:5|6:d
2b:a-dman-HEX-1:5
3b:a-dgal-HEX-1:5
4b:a-lman-HEX-1:5|6:d
5b:a-dman-HEX-1:5
6b:a-dgal-HEX-1:5
7b:a-dara-PEN-1:5|3:d|6:d
8b:a-dara-PEN-1:5|3:d|6:d
LIN
1:1o(4+1)2d
2:2o(2+1)3d
3:3o(3+1)4d
4:4o(4+1)5d
5:5o(2+1)6d
6:5o(3+1)7d
7:2o(3+1)8d",
62,Gal(a1-2)[Tyv(a1-3)]Man(a1-4)Rha(a1-3)[Glc(a1-4)]Gal(a1-2)[Tyv(a1-3)]Man(a1-4)Rha,"RES
1b:x-lman-HEX-1:5|6:d
2b:a-dman-HEX-1:5
3b:a-dgal-HEX-1:5
4b:a-lman-HEX-1:5|6:d
5b:a-dman-HEX-1:5
6b:a-dgal-HEX-1:5
7b:a-dara-PEN-1:5|3:d|6:d
8b:a-dglc-HEX-1:5
9b:a-dara-PEN-1:5|3:d|6:d
LIN
1:1o(4+1)2d
2:2o(2+1)3d
3:3o(3+1)4d
4:4o(4+1)5d
5:5o(2+1)6d
6:5o(3+1)7d
7:3o(4+1)8d
8:2o(3+1)9d",
63,Gal(a1-2)[Abe(a1-3)]Man(a1-4)Rha(a1-3)Gal(a1-2)[Abe(a1-3)]Man(a1-4)Rha,"RES
1b:x-lman-HEX-1:5|6:d
2b:a-dman-HEX-1:5
3b:a-dgal-HEX-1:5
4b:a-lman-HEX-1:5|6:d
5b:a-dman-HEX-1:5
6b:a-dgal-HEX-1:5
7b:a-dxyl-PEN-1:5|3:d|6:d
8b:a-dxyl-PEN-1:5|3:d|6:d
LIN
1:1o(4+1)2d
2:2o(2+1)3d
3:3o(3+1)4d
4:4o(4+1)5d
5:5o(2+1)6d
6:5o(3+1)7d
7:2o(3+1)8d",
64,Gal(a1-6)Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-dgal-HEX-1:5
LIN
1:1o(6+1)2d",G09165XB
65,GalNAc(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dgal-HEX-1:5
3s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n",G87315SO
66,Fuc(a1-2)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(2+1)4d",G39064VB
67,Gal(a1-3)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d",G27798EJ
68,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-lgal-HEX-1:5|6:d
4b:a-dgal-HEX-1:5
5s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(2+1)3d
3:2o(3+1)4d
4:4d(2+1)5n",G90377OF
69,Gal(b1-3)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(3+1)3d",G04616ST
70,NeuAc(a2-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
3s:n-acetyl
LIN
1:1o(3+2)2d
2:2d(5+1)3n",G77824XV
71,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-lgal-HEX-1:5|6:d
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dgal-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(4+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d",G12045LV
72,Gal(b1-3)[Fuc(a1-4)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(4+1)4d",G00047MO
73,NeuAc(a2-8)NeuAc(a2-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n
4:3o(8+2)5d
5:5d(5+1)6n",G81928IQ
74,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:5o(6+1)7d",G20624LQ
75,GlcNAc(b1-2)Man,"RES
1b:x-dman-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
LIN
1:1o(2+1)2d
2:2d(2+1)3n",G65609XC
